County,Year1980,Year1990,Year2000,Year2010
Adams,71622,66090,68277,67103
Alexander,12264,10626,9590,8238
Bond,16224,14991,17633,17768
Boone,28630,30806,41786,54165
Brown,5411,5836,6950,6937
Bureau,39114,35688,35503,34978
Calhoun,5867,5322,5084,5089
Carroll,18779,16805,16674,15387
Cass,15084,13437,13695,13642
Champaign,168392,173025,179669,201081
Christian,36446,34418,35372,34800
Clark,16913,15921,17008,16335
Clay,15283,14460,14560,13815
Clinton,32617,33944,35535,37762
Coles,52260,51644,53196,53873
Cook,5253655,5105067,5376741,5194675
Crawford,20818,19464,20452,19817
Cumberland,11062,10670,11253,11048
DeKalb,74624,77932,88969,105160
De Witt,18108,16516,16798,16561
Douglas,19774,19464,19922,19980
DuPage,658835,781666,904161,916924
Edgar,21725,19595,19704,18576
Edwards,7961,7440,6971,6721
Effingham,30944,31704,34264,34242
Fayette,22167,20893,21802,22140
Ford,15265,14275,14241,14081
Franklin,43201,40319,39018,39561
Fulton,43687,38080,38250,37069
Gallatin,7590,6909,6445,5589
Greene,16661,15317,14761,13886
Grundy,30582,32337,37535,50063
Hamilton,9172,8499,8621,8457
Hancock,23877,21373,20121,19104
Hardin,5383,5189,4800,4320
Henderson,9114,8096,8213,7331
Henry,57968,51159,51020,50486
Iroquois,32976,30787,31334,29718
Jackson,61522,61067,59612,60218
Jasper,11318,10609,10117,9698
Jefferson,36552,37020,40045,38827
Jersey,20538,20539,21668,22985
Jo Daviess,23520,21821,22289,22678
Johnson,9624,11347,12878,12582
Kane,278405,317471,404119,515269
Kankakee,102926,96255,103833,113449
Kendall,37202,39413,54544,114736
Knox,61607,56393,55836,52919
Lake,440372,516418,644356,703462
LaSalle,112033,106913,111509,113924
Lawrence,17807,15972,15452,16833
Lee,36328,34392,36062,36031
Livingston,41381,39301,39678,38950
Logan,31802,30798,31183,30305
McDonough,37467,35244,32913,32612
McHenry,147897,183241,260077,308760
McLean,119149,129180,150433,169572
Macon,131375,117206,114706,110768
Macoupin,49384,47679,49019,47765
Madison,247691,249238,258941,269282
Marion,43523,41561,41691,39437
Marshall,14479,12846,13180,12640
Mason,19492,16269,16038,14666
Massac,14990,14752,15161,15429
Menard,11700,11164,12486,12705
Mercer,19286,17290,16957,16434
Monroe,20117,22422,27619,32957
Montgomery,31686,30728,30652,30104
Morgan,37502,36397,36616,35547
Moultrie,14546,13930,14287,14846
Ogle,46338,45957,51032,53497
Peoria,200466,182827,183433,186494
Perry,21714,21412,23094,22350
Piatt,16581,15548,16365,16729
Pike,18896,17577,17384,16430
Pope,4404,4373,4413,4470
Pulaski,8840,7523,7348,6161
Putnam,6085,5730,6086,6006
Randolph,35652,34583,33893,33476
Richland,17587,16545,16149,16233
Rock Island,165968,148723,149374,147546
St. Clair,267531,262852,256082,270056
Saline,28448,26551,26733,24913
Sangamon,176089,178386,188951,197465
Schuyler,8365,7498,7189,7544
Scott,6142,5644,5537,5355
Shelby,23923,22261,22893,22363
Stark,7389,6534,6332,5994
Stephenson,49536,48052,48979,47711
Tazewell,132078,123692,128485,135394
Union,17765,17619,18293,17808
Vermilion,95222,88257,83919,81625
Wabash,13713,13111,12937,11947
Warren,21943,19181,18735,17707
Washington,15472,14965,15148,14716
Wayne,18059,17241,17151,16760
White,17864,16522,15371,14665
Whiteside,65970,60186,60653,58498
Will,324460,357313,502266,677560
Williamson,56538,57733,61296,66357
Winnebago,250884,252913,278418,295266
Woodford,33320,32653,35469,38664
